"Código","Unidade Territorial","Referência",""
"43","RIO GRANDE DO SUL","12/2012","940149"
"50","MATO GROSSO DO SUL","12/2012","287721"
"51","MATO GROSSO","12/2012","402039"
"52","GOIÁS","12/2012","725985"
"53","DISTRITO FEDERAL","12/2012","263795"
"11","RONDÔNIA","01/2013","202736"
"12","ACRE","01/2013","102333"
"13","AMAZONAS","01/2013","329899"
"14","RORAIMA","01/2013","39003"
"15","PARÁ","01/2013","690323"
"16","AMAPÁ","01/2013","59771"
"17","TOCANTINS","01/2013","231312"
"21","MARANHÃO","01/2013","533874"
"22","PIAUÍ","01/2013","312512"
"23","CEARÁ","01/2013","1143149"
"24","RIO GRANDE DO NORTE","01/2013","425960"
"25","PARAÍBA","01/2013","418506"
"26","PERNAMBUCO","01/2013","947301"
"27","ALAGOAS","01/2013","382206"
"28","SERGIPE","01/2013","211813"
"29","BAHIA","01/2013","1481923"
"31","MINAS GERAIS","01/2013","2658511"
"32","ESPÍRITO SANTO","01/2013","457366"
"33","RIO DE JANEIRO","01/2013","1212749"
"35","SÃO PAULO","01/2013","3245481"
"41","PARANÁ","01/2013","1208913"
"42","SANTA CATARINA","01/2013","479630"
"43","RIO GRANDE DO SUL","01/2013","939208"
"50","MATO GROSSO DO SUL","01/2013","287067"
"51","MATO GROSSO","01/2013","401886"
"52","GOIÁS","01/2013","726217"
"53","DISTRITO FEDERAL","01/2013","263986"
"11","RONDÔNIA","02/2013","203168"
"12","ACRE","02/2013","102748"
"13","AMAZONAS","02/2013","332561"
"14","RORAIMA","02/2013","39281"
"15","PARÁ","02/2013","694309"
"16","AMAPÁ","02/2013","59959"
"17","TOCANTINS","02/2013","230299"
"21","MARANHÃO","02/2013","535642"
"22","PIAUÍ","02/2013","311924"
"23","CEARÁ","02/2013","1141108"
"24","RIO GRANDE DO NORTE","02/2013","425566"
"25","PARAÍBA","02/2013","417814"
"26","PERNAMBUCO","02/2013","950280"
"27","ALAGOAS","02/2013","383039"
"28","SERGIPE","02/2013","212249"
"29","BAHIA","02/2013","1482502"
"31","MINAS GERAIS","02/2013","2651598"
"32","ESPÍRITO SANTO","02/2013","458126"
"33","RIO DE JANEIRO","02/2013","1214740"
"35","SÃO PAULO","02/2013","3244456"
"41","PARANÁ","02/2013","1204882"
"42","SANTA CATARINA","02/2013","478791"
"43","RIO GRANDE DO SUL","02/2013","938532"
"50","MATO GROSSO DO SUL","02/2013","286180"
"51","MATO GROSSO","02/2013","401445"
"52","GOIÁS","02/2013","727300"
"53","DISTRITO FEDERAL","02/2013","264396"
"11","RONDÔNIA","03/2013","202609"
"12","ACRE","03/2013","102330"
"13","AMAZONAS","03/2013","333511"
"14","RORAIMA","03/2013","39856"
"15","PARÁ","03/2013","693565"
"16","AMAPÁ","03/2013","60407"
"17","TOCANTINS","03/2013","227767"
"21","MARANHÃO","03/2013","534902"
"22","PIAUÍ","03/2013","309237"
"23","CEARÁ","03/2013","1132860"
"24","RIO GRANDE DO NORTE","03/2013","422130"
"25","PARAÍBA","03/2013","413908"
"26","PERNAMBUCO","03/2013","948156"
"27","ALAGOAS","03/2013","380439"
"28","SERGIPE","03/2013","211966"
"29","BAHIA","03/2013","1475885"
"31","MINAS GERAIS","03/2013","2634477"
"32","ESPÍRITO SANTO","03/2013","455559"
"33","RIO DE JANEIRO","03/2013","1211580"
"35","SÃO PAULO","03/2013","3226380"
"41","PARANÁ","03/2013","1195257"
"42","SANTA CATARINA","03/2013","475653"
"43","RIO GRANDE DO SUL","03/2013","934932"
"50","MATO GROSSO DO SUL","03/2013","284911"
"51","MATO GROSSO","03/2013","398883"
"52","GOIÁS","03/2013","724078"
"53","DISTRITO FEDERAL","03/2013","263145"
"11","RONDÔNIA","04/2013","204190"
"12","ACRE","04/2013","102585"
"13","AMAZONAS","04/2013","340708"
"14","RORAIMA","04/2013","41401"
"15","PARÁ","04/2013","700418"
"16","AMAPÁ","04/2013","61365"
"17","TOCANTINS","04/2013","226403"
"21","MARANHÃO","04/2013","540767"
"22","PIAUÍ","04/2013","308089"
"23","CEARÁ","04/2013","1127113"
"24","RIO GRANDE DO NORTE","04/2013","420355"
"25","PARAÍBA","04/2013","410988"
"26","PERNAMBUCO","04/2013","956505"
"27","ALAGOAS","04/2013","381242"
"28","SERGIPE","04/2013","212992"
"29","BAHIA","04/2013","1480452"
"31","MINAS GERAIS","04/2013","2619335"
"32","ESPÍRITO SANTO","04/2013","454335"
"33","RIO DE JANEIRO","04/2013","1213057"
"35","SÃO PAULO","04/2013","3219376"
"41","PARANÁ","04/2013","1187676"
"42","SANTA CATARINA","04/2013","473050"
"43","RIO GRANDE DO SUL","04/2013","933933"
"50","MATO GROSSO DO SUL","04/2013","284600"
"51","MATO GROSSO","04/2013","399586"
"52","GOIÁS","04/2013","728989"
"53","DISTRITO FEDERAL","04/2013","263733"
"11","RONDÔNIA","05/2013","204804"
"12","ACRE","05/2013","102948"
"13","AMAZONAS","05/2013","343835"
"14","RORAIMA","05/2013","41780"
"15","PARÁ","05/2013","703161"
"16","AMAPÁ","05/2013","61987"
"17","TOCANTINS","05/2013","226589"
"21","MARANHÃO","05/2013","544018"
"22","PIAUÍ","05/2013","308244"
"23","CEARÁ","05/2013","1125484"
"24","RIO GRANDE DO NORTE","05/2013","420667"
"25","PARAÍBA","05/2013","410003"
"26","PERNAMBUCO","05/2013","960162"
"27","ALAGOAS","05/2013","381749"
"28","SERGIPE","05/2013","213328"
"29","BAHIA","05/2013","1483472"
"31","MINAS GERAIS","05/2013","2615437"
"32","ESPÍRITO SANTO","05/2013","454518"
"33","RIO DE JANEIRO","05/2013","1213994"
"35","SÃO PAULO","05/2013","3220131"
"41","PARANÁ","05/2013","1185105"
"42","SANTA CATARINA","05/2013","472399"
"43","RIO GRANDE DO SUL","05/2013","934220"
"50","MATO GROSSO DO SUL","05/2013","284474"
"51","MATO GROSSO","05/2013","399922"
"52","GOIÁS","05/2013","730609"
"53","DISTRITO FEDERAL","05/2013","264086"
"11","RONDÔNIA","06/2013","206458"
"12","ACRE","06/2013","103180"
"13","AMAZONAS","06/2013","349471"
"14","RORAIMA","06/2013","42637"
"15","PARÁ","06/2013","708363"
"16","AMAPÁ","06/2013","62754"
"17","TOCANTINS","06/2013","227055"
"21","MARANHÃO","06/2013","548595"
"22","PIAUÍ","06/2013","308839"
"23","CEARÁ","06/2013","1124130"
"24","RIO GRANDE DO NORTE","06/2013","420493"
"25","PARAÍBA","06/2013","408531"
"26","PERNAMBUCO","06/2013","965998"
"27","ALAGOAS","06/2013","382870"
"28","SERGIPE","06/2013","214407"
"29","BAHIA","06/2013","1487098"
"31","MINAS GERAIS","06/2013","2601773"
"32","ESPÍRITO SANTO","06/2013","454753"
"33","RIO DE JANEIRO","06/2013","1216417"
"35","SÃO PAULO","06/2013","3223089"
"41","PARANÁ","06/2013","1182232"
"42","SANTA CATARINA","06/2013","470900"
"43","RIO GRANDE DO SUL","06/2013","934207"
"50","MATO GROSSO DO SUL","06/2013","284783"
"51","MATO GROSSO","06/2013","400857"
"52","GOIÁS","06/2013","734379"
"53","DISTRITO FEDERAL","06/2013","264453"
"11","RONDÔNIA","07/2013","208010"
"12","ACRE","07/2013","103781"
"13","AMAZONAS","07/2013","357391"
"14","RORAIMA","07/2013","44045"
"15","PARÁ","07/2013","714636"
"16","AMAPÁ","07/2013","64745"
"17","TOCANTINS","07/2013","228156"
"21","MARANHÃO","07/2013","554706"
"22","PIAUÍ","07/2013","308213"
"23","CEARÁ","07/2013","1123267"
"24","RIO GRANDE DO NORTE","07/2013","419374"
"25","PARAÍBA","07/2013","406273"
"26","PERNAMBUCO","07/2013","970094"
"27","ALAGOAS","07/2013","382936"
"28","SERGIPE","07/2013","215389"
"29","BAHIA","07/2013","1488740"
"31","MINAS GERAIS","07/2013","2582611"
"32","ESPÍRITO SANTO","07/2013","455029"
"33","RIO DE JANEIRO","07/2013","1219465"
"35","SÃO PAULO","07/2013","3222350"
"41","PARANÁ","07/2013","1164269"
"42","SANTA CATARINA","07/2013","467632"
"43","RIO GRANDE DO SUL","07/2013","933941"
"50","MATO GROSSO DO SUL","07/2013","284228"
"51","MATO GROSSO","07/2013","401174"
"52","GOIÁS","07/2013","737643"
"53","DISTRITO FEDERAL","07/2013","264848"
"11","RONDÔNIA","08/2013","209064"
"12","ACRE","08/2013","104747"
"13","AMAZONAS","08/2013","366177"
"14","RORAIMA","08/2013","45817"
"15","PARÁ","08/2013","719639"
"16","AMAPÁ","08/2013","66466"
"17","TOCANTINS","08/2013","228667"
"21","MARANHÃO","08/2013","560509"
"22","PIAUÍ","08/2013","308149"
"23","CEARÁ","08/2013","1122319"
"24","RIO GRANDE DO NORTE","08/2013","419995"
"25","PARAÍBA","08/2013","404348"
"26","PERNAMBUCO","08/2013","975658"
"27","ALAGOAS","08/2013","383557"
"28","SERGIPE","08/2013","216586"
"29","BAHIA","08/2013","1490663"
"31","MINAS GERAIS","08/2013","2570435"
"32","ESPÍRITO SANTO","08/2013","452578"
"33","RIO DE JANEIRO","08/2013","1222530"
"35","SÃO PAULO","08/2013","3219531"
"41","PARANÁ","08/2013","1155709"
"42","SANTA CATARINA","08/2013","464411"
"43","RIO GRANDE DO SUL","08/2013","932221"
"50","MATO GROSSO DO SUL","08/2013","284307"
"51","MATO GROSSO","08/2013","401159"
"52","GOIÁS","08/2013","739624"
"53","DISTRITO FEDERAL","08/2013","265862"
"11","RONDÔNIA","09/2013","209768"
"12","ACRE","09/2013","104891"
"13","AMAZONAS","09/2013","369696"
"14","RORAIMA","09/2013","47083"
"15","PARÁ","09/2013","724568"
"16","AMAPÁ","09/2013","67678"
"17","TOCANTINS","09/2013","228493"
"21","MARANHÃO","09/2013","563093"
"22","PIAUÍ","09/2013","307678"
"23","CEARÁ","09/2013","1119683"
"24","RIO GRANDE DO NORTE","09/2013","419872"
"25","PARAÍBA","09/2013","400269"
"26","PERNAMBUCO","09/2013","978960"
"27","ALAGOAS","09/2013","383060"
"28","SERGIPE","09/2013","216803"
"29","BAHIA","09/2013","1491819"
"31","MINAS GERAIS","09/2013","2560440"
"32","ESPÍRITO SANTO","09/2013","449892"
"33","RIO DE JANEIRO","09/2013","1225009"
"35","SÃO PAULO","09/2013","3214131"
"41","PARANÁ","09/2013","1147657"
"42","SANTA CATARINA","09/2013","460379"
"43","RIO GRANDE DO SUL","09/2013","931999"
"50","MATO GROSSO DO SUL","09/2013","283522"
"51","MATO GROSSO","09/2013","401327"
"52","GOIÁS","09/2013","742145"
"53","DISTRITO FEDERAL","09/2013","266281"
"11","RONDÔNIA","10/2013","210450"
"12","ACRE","10/2013","105359"
"13","AMAZONAS","10/2013","372910"
"14","RORAIMA","10/2013","48163"
"15","PARÁ","10/2013","727903"
"16","AMAPÁ","10/2013","68874"
"17","TOCANTINS","10/2013","228298"
"21","MARANHÃO","10/2013","566002"
"22","PIAUÍ","10/2013","307835"
"23","CEARÁ","10/2013","1118340"
"24","RIO GRANDE DO NORTE","10/2013","420031"
"25","PARAÍBA","10/2013","398618"
"26","PERNAMBUCO","10/2013","981349"
"27","ALAGOAS","10/2013","383796"
"28","SERGIPE","10/2013","216640"
"29","BAHIA","10/2013","1493458"
"31","MINAS GERAIS","10/2013","2549918"
"32","ESPÍRITO SANTO","10/2013","449935"
"33","RIO DE JANEIRO","10/2013","1226397"
"35","SÃO PAULO","10/2013","3211827"
"41","PARANÁ","10/2013","1140768"
"42","SANTA CATARINA","10/2013","458387"
"43","RIO GRANDE DO SUL","10/2013","931504"
"50","MATO GROSSO DO SUL","10/2013","283980"
"51","MATO GROSSO","10/2013","401440"
"52","GOIÁS","10/2013","743345"
"53","DISTRITO FEDERAL","10/2013","266626"
"11","RONDÔNIA","11/2013","211990"
"12","ACRE","11/2013","105764"
"13","AMAZONAS","11/2013","376903"
"14","RORAIMA","11/2013","49343"
"15","PARÁ","11/2013","736790"
"16","AMAPÁ","11/2013","69851"
"17","TOCANTINS","11/2013","228678"
"21","MARANHÃO","11/2013","570618"
"22","PIAUÍ","11/2013","307976"
"23","CEARÁ","11/2013","1117386"
"24","RIO GRANDE DO NORTE","11/2013","419651"
