"Código","Unidade Territorial","Referência",""
"35","SÃO PAULO","07/2014","3111439"
"41","PARANÁ","07/2014","1111037"
"42","SANTA CATARINA","07/2014","436630"
"43","RIO GRANDE DO SUL","07/2014","901472"
"50","MATO GROSSO DO SUL","07/2014","281003"
"51","MATO GROSSO","07/2014","394634"
"52","GOIÁS","07/2014","708351"
"53","DISTRITO FEDERAL","07/2014","268563"
"11","RONDÔNIA","08/2014","207593"
"12","ACRE","08/2014","98351"
"13","AMAZONAS","08/2014","380034"
"14","RORAIMA","08/2014","51003"
"15","PARÁ","08/2014","710564"
"16","AMAPÁ","08/2014","68137"
"17","TOCANTINS","08/2014","219968"
"21","MARANHÃO","08/2014","540007"
"22","PIAUÍ","08/2014","295603"
"23","CEARÁ","08/2014","1044301"
"24","RIO GRANDE DO NORTE","08/2014","401833"
"25","PARAÍBA","08/2014","367524"
"26","PERNAMBUCO","08/2014","948103"
"27","ALAGOAS","08/2014","365943"
"28","SERGIPE","08/2014","209601"
"29","BAHIA","08/2014","1427907"
"31","MINAS GERAIS","08/2014","2414569"
"32","ESPÍRITO SANTO","08/2014","438213"
"33","RIO DE JANEIRO","08/2014","1200385"
"35","SÃO PAULO","08/2014","3097542"
"41","PARANÁ","08/2014","1100957"
"42","SANTA CATARINA","08/2014","433941"
"43","RIO GRANDE DO SUL","08/2014","900411"
"50","MATO GROSSO DO SUL","08/2014","281890"
"51","MATO GROSSO","08/2014","395724"
"52","GOIÁS","08/2014","712445"
"53","DISTRITO FEDERAL","08/2014","267420"
"11","RONDÔNIA","09/2014","207911"
"12","ACRE","09/2014","98748"
"13","AMAZONAS","09/2014","383635"
"14","RORAIMA","09/2014","52243"
"15","PARÁ","09/2014","714727"
"16","AMAPÁ","09/2014","69230"
"17","TOCANTINS","09/2014","220122"
"21","MARANHÃO","09/2014","542842"
"22","PIAUÍ","09/2014","295463"
"23","CEARÁ","09/2014","1043376"
"24","RIO GRANDE DO NORTE","09/2014","401683"
"25","PARAÍBA","09/2014","366018"
"26","PERNAMBUCO","09/2014","949185"
"27","ALAGOAS","09/2014","366090"
"28","SERGIPE","09/2014","210754"
"29","BAHIA","09/2014","1430508"
"31","MINAS GERAIS","09/2014","2397752"
"32","ESPÍRITO SANTO","09/2014","435915"
"33","RIO DE JANEIRO","09/2014","1201408"
"35","SÃO PAULO","09/2014","3020448"
"41","PARANÁ","09/2014","1080212"
"42","SANTA CATARINA","09/2014","430741"
"43","RIO GRANDE DO SUL","09/2014","897757"
"50","MATO GROSSO DO SUL","09/2014","280934"
"51","MATO GROSSO","09/2014","395367"
"52","GOIÁS","09/2014","714773"
"53","DISTRITO FEDERAL","09/2014","265261"
"11","RONDÔNIA","10/2014","210528"
"12","ACRE","10/2014","99337"
"13","AMAZONAS","10/2014","387380"
"14","RORAIMA","10/2014","53206"
"15","PARÁ","10/2014","720572"
"16","AMAPÁ","10/2014","70472"
"17","TOCANTINS","10/2014","220770"
"21","MARANHÃO","10/2014","545908"
"22","PIAUÍ","10/2014","296115"
"23","CEARÁ","10/2014","1044289"
"24","RIO GRANDE DO NORTE","10/2014","402869"
"25","PARAÍBA","10/2014","365422"
"26","PERNAMBUCO","10/2014","953713"
"27","ALAGOAS","10/2014","367656"
"28","SERGIPE","10/2014","212347"
"29","BAHIA","10/2014","1435948"
"31","MINAS GERAIS","10/2014","2395742"
"32","ESPÍRITO SANTO","10/2014","435344"
"33","RIO DE JANEIRO","10/2014","1211902"
"35","SÃO PAULO","10/2014","2990091"
"41","PARANÁ","10/2014","1076605"
"42","SANTA CATARINA","10/2014","431817"
"43","RIO GRANDE DO SUL","10/2014","899390"
"50","MATO GROSSO DO SUL","10/2014","282849"
"51","MATO GROSSO","10/2014","396787"
"52","GOIÁS","10/2014","718340"
"53","DISTRITO FEDERAL","10/2014","266305"
"11","RONDÔNIA","11/2014","211537"
"12","ACRE","11/2014","99218"
"13","AMAZONAS","11/2014","389275"
"14","RORAIMA","11/2014","53692"
"15","PARÁ","11/2014","723322"
"16","AMAPÁ","11/2014","71565"
"17","TOCANTINS","11/2014","220974"
"21","MARANHÃO","11/2014","548311"
"22","PIAUÍ","11/2014","295542"
"23","CEARÁ","11/2014","1044329"
"24","RIO GRANDE DO NORTE","11/2014","403056"
"25","PARAÍBA","11/2014","364064"
"26","PERNAMBUCO","11/2014","954878"
"27","ALAGOAS","11/2014","368189"
"28","SERGIPE","11/2014","213702"
"29","BAHIA","11/2014","1438382"
"31","MINAS GERAIS","11/2014","2388497"
"32","ESPÍRITO SANTO","11/2014","434492"
"33","RIO DE JANEIRO","11/2014","1216681"
"35","SÃO PAULO","11/2014","2986092"
"41","PARANÁ","11/2014","1066804"
"42","SANTA CATARINA","11/2014","430076"
"43","RIO GRANDE DO SUL","11/2014","897210"
"50","MATO GROSSO DO SUL","11/2014","283029"
"51","MATO GROSSO","11/2014","396805"
"52","GOIÁS","11/2014","719895"
"53","DISTRITO FEDERAL","11/2014","266341"
"11","RONDÔNIA","12/2014","212698"
"12","ACRE","12/2014","99164"
"13","AMAZONAS","12/2014","392840"
"14","RORAIMA","12/2014","54334"
"15","PARÁ","12/2014","728417"
"16","AMAPÁ","12/2014","72609"
"17","TOCANTINS","12/2014","220776"
"21","MARANHÃO","12/2014","551500"
"22","PIAUÍ","12/2014","295519"
"23","CEARÁ","12/2014","1044828"
"24","RIO GRANDE DO NORTE","12/2014","403276"
"25","PARAÍBA","12/2014","363345"
"26","PERNAMBUCO","12/2014","956426"
"27","ALAGOAS","12/2014","369860"
"28","SERGIPE","12/2014","214869"
"29","BAHIA","12/2014","1440992"
"31","MINAS GERAIS","12/2014","2380399"
"32","ESPÍRITO SANTO","12/2014","434292"
"33","RIO DE JANEIRO","12/2014","1220061"
"35","SÃO PAULO","12/2014","2985585"
"41","PARANÁ","12/2014","1058832"
"42","SANTA CATARINA","12/2014","428775"
"43","RIO GRANDE DO SUL","12/2014","894628"
"50","MATO GROSSO DO SUL","12/2014","283166"
"51","MATO GROSSO","12/2014","397016"
"52","GOIÁS","12/2014","720626"
"53","DISTRITO FEDERAL","12/2014","266313"
"11","RONDÔNIA","01/2015","180262"
"12","ACRE","01/2015","88509"
"13","AMAZONAS","01/2015","359275"
"14","RORAIMA","01/2015","51121"
"15","PARÁ","01/2015","654967"
"16","AMAPÁ","01/2015","64395"
"17","TOCANTINS","01/2015","195519"
"21","MARANHÃO","01/2015","459338"
"22","PIAUÍ","01/2015","236866"
"23","CEARÁ","01/2015","918698"
"24","RIO GRANDE DO NORTE","01/2015","338016"
"25","PARAÍBA","01/2015","291176"
"26","PERNAMBUCO","01/2015","781261"
"27","ALAGOAS","01/2015","320658"
"28","SERGIPE","01/2015","189573"
"29","BAHIA","01/2015","1203621"
"31","MINAS GERAIS","01/2015","1899407"
"32","ESPÍRITO SANTO","01/2015","366626"
"33","RIO DE JANEIRO","01/2015","992773"
"35","SÃO PAULO","01/2015","2528293"
"41","PARANÁ","01/2015","866961"
"42","SANTA CATARINA","01/2015","321988"
"43","RIO GRANDE DO SUL","01/2015","692488"
"50","MATO GROSSO DO SUL","01/2015","245970"
"51","MATO GROSSO","01/2015","339307"
"52","GOIÁS","01/2015","622320"
"53","DISTRITO FEDERAL","01/2015","221677"
"11","RONDÔNIA","02/2015","180758"
"12","ACRE","02/2015","88773"
"13","AMAZONAS","02/2015","360523"
"14","RORAIMA","02/2015","51607"
"15","PARÁ","02/2015","658008"
"16","AMAPÁ","02/2015","64356"
"17","TOCANTINS","02/2015","195482"
"21","MARANHÃO","02/2015","461992"
"22","PIAUÍ","02/2015","236954"
"23","CEARÁ","02/2015","918083"
"24","RIO GRANDE DO NORTE","02/2015","337818"
"25","PARAÍBA","02/2015","290738"
"26","PERNAMBUCO","02/2015","781509"
"27","ALAGOAS","02/2015","321730"
"28","SERGIPE","02/2015","190080"
"29","BAHIA","02/2015","1205891"
"31","MINAS GERAIS","02/2015","1893570"
"32","ESPÍRITO SANTO","02/2015","366453"
"33","RIO DE JANEIRO","02/2015","997269"
"35","SÃO PAULO","02/2015","2529238"
"41","PARANÁ","02/2015","859797"
"42","SANTA CATARINA","02/2015","321761"
"43","RIO GRANDE DO SUL","02/2015","693172"
"50","MATO GROSSO DO SUL","02/2015","245321"
"51","MATO GROSSO","02/2015","340015"
"52","GOIÁS","02/2015","625363"
"53","DISTRITO FEDERAL","02/2015","221881"
"11","RONDÔNIA","03/2015","183150"
"12","ACRE","03/2015","88995"
"13","AMAZONAS","03/2015","364440"
"14","RORAIMA","03/2015","52192"
"15","PARÁ","03/2015","661451"
"16","AMAPÁ","03/2015","64422"
"17","TOCANTINS","03/2015","196016"
"21","MARANHÃO","03/2015","464884"
"22","PIAUÍ","03/2015","237547"
"23","CEARÁ","03/2015","916750"
"24","RIO GRANDE DO NORTE","03/2015","338666"
"25","PARAÍBA","03/2015","290792"
"26","PERNAMBUCO","03/2015","784833"
"27","ALAGOAS","03/2015","322914"
"28","SERGIPE","03/2015","191785"
"29","BAHIA","03/2015","1206598"
"31","MINAS GERAIS","03/2015","1887342"
"32","ESPÍRITO SANTO","03/2015","366983"
"33","RIO DE JANEIRO","03/2015","1001595"
"35","SÃO PAULO","03/2015","2528409"
"41","PARANÁ","03/2015","854739"
"42","SANTA CATARINA","03/2015","320043"
"43","RIO GRANDE DO SUL","03/2015","694575"
"50","MATO GROSSO DO SUL","03/2015","245751"
"51","MATO GROSSO","03/2015","341435"
"52","GOIÁS","03/2015","628154"
"53","DISTRITO FEDERAL","03/2015","221852"
"11","RONDÔNIA","04/2015","184619"
"12","ACRE","04/2015","89011"
"13","AMAZONAS","04/2015","367228"
"14","RORAIMA","04/2015","52651"
"15","PARÁ","04/2015","665980"
"16","AMAPÁ","04/2015","64858"
"17","TOCANTINS","04/2015","195988"
"21","MARANHÃO","04/2015","467415"
"22","PIAUÍ","04/2015","238008"
"23","CEARÁ","04/2015","916344"
"24","RIO GRANDE DO NORTE","04/2015","339013"
"25","PARAÍBA","04/2015","290575"
"26","PERNAMBUCO","04/2015","787850"
"27","ALAGOAS","04/2015","323667"
"28","SERGIPE","04/2015","193395"
"29","BAHIA","04/2015","1206321"
"31","MINAS GERAIS","04/2015","1882282"
"32","ESPÍRITO SANTO","04/2015","367446"
"33","RIO DE JANEIRO","04/2015","1004802"
"35","SÃO PAULO","04/2015","2525656"
"41","PARANÁ","04/2015","850137"
"42","SANTA CATARINA","04/2015","318425"
"43","RIO GRANDE DO SUL","04/2015","696028"
"50","MATO GROSSO DO SUL","04/2015","245636"
"51","MATO GROSSO","04/2015","342526"
"52","GOIÁS","04/2015","631458"
"53","DISTRITO FEDERAL","04/2015","222153"
"11","RONDÔNIA","05/2015","185949"
"12","ACRE","05/2015","88680"
"13","AMAZONAS","05/2015","368840"
"14","RORAIMA","05/2015","53450"
"15","PARÁ","05/2015","669038"
"16","AMAPÁ","05/2015","65401"
"17","TOCANTINS","05/2015","195217"
"21","MARANHÃO","05/2015","466626"
"22","PIAUÍ","05/2015","237093"
"23","CEARÁ","05/2015","912284"
"24","RIO GRANDE DO NORTE","05/2015","337000"
"25","PARAÍBA","05/2015","288135"
"26","PERNAMBUCO","05/2015","785378"
"27","ALAGOAS","05/2015","323434"
"28","SERGIPE","05/2015","193270"
"29","BAHIA","05/2015","1201155"
"31","MINAS GERAIS","05/2015","1871387"
"32","ESPÍRITO SANTO","05/2015","366955"
"33","RIO DE JANEIRO","05/2015","1007774"
"35","SÃO PAULO","05/2015","2516229"
"41","PARANÁ","05/2015","842768"
"42","SANTA CATARINA","05/2015","316753"
"43","RIO GRANDE DO SUL","05/2015","694350"
"50","MATO GROSSO DO SUL","05/2015","244878"
"51","MATO GROSSO","05/2015","342311"
"52","GOIÁS","05/2015","634022"
"53","DISTRITO FEDERAL","05/2015","221997"
"11","RONDÔNIA","06/2015","186775"
"12","ACRE","06/2015","88845"
"13","AMAZONAS","06/2015","373282"
"14","RORAIMA","06/2015","54471"
"15","PARÁ","06/2015","677572"
"16","AMAPÁ","06/2015","66483"
"17","TOCANTINS","06/2015","194612"
"21","MARANHÃO","06/2015","472234"
"22","PIAUÍ","06/2015","237344"
"23","CEARÁ","06/2015","911690"
"24","RIO GRANDE DO NORTE","06/2015","336801"
"25","PARAÍBA","06/2015","289200"
"26","PERNAMBUCO","06/2015","787465"
"27","ALAGOAS","06/2015","324557"
"28","SERGIPE","06/2015","194559"
"29","BAHIA","06/2015","1201550"
"31","MINAS GERAIS","06/2015","1852298"
"32","ESPÍRITO SANTO","06/2015","365970"
"33","RIO DE JANEIRO","06/2015","1007025"
"35","SÃO PAULO","06/2015","2510324"
"41","PARANÁ","06/2015","832799"
"42","SANTA CATARINA","06/2015","313934"
"43","RIO GRANDE DO SUL","06/2015","691728"
"50","MATO GROSSO DO SUL","06/2015","243151"
"51","MATO GROSSO","06/2015","341740"
"52","GOIÁS","06/2015","632523"
"53","DISTRITO FEDERAL","06/2015","221106"
"11","RONDÔNIA","07/2015","179017"
"12","ACRE","07/2015","84840"
"13","AMAZONAS","07/2015","367394"
"14","RORAIMA","07/2015","53939"
"15","PARÁ","07/2015","666172"
"16","AMAPÁ","07/2015","64621"
"17","TOCANTINS","07/2015","184204"
"21","MARANHÃO","07/2015","458337"
"22","PIAUÍ","07/2015","226339"
"23","CEARÁ","07/2015","867567"
"24","RIO GRANDE DO NORTE","07/2015","316991"
"25","PARAÍBA","07/2015","274807"
"26","PERNAMBUCO","07/2015","752982"
"27","ALAGOAS","07/2015","312105"
"28","SERGIPE","07/2015","191097"
"29","BAHIA","07/2015","1135855"
"31","MINAS GERAIS","07/2015","1682971"
"32","ESPÍRITO SANTO","07/2015","344576"
"33","RIO DE JANEIRO","07/2015","935810"
"35","SÃO PAULO","07/2015","2313967"
"41","PARANÁ","07/2015","775867"
"42","SANTA CATARINA","07/2015","281982"
"43","RIO GRANDE DO SUL","07/2015","640427"
"50","MATO GROSSO DO SUL","07/2015","229120"
"51","MATO GROSSO","07/2015","323006"
"52","GOIÁS","07/2015","584869"
"53","DISTRITO FEDERAL","07/2015","206568"
"11","RONDÔNIA","08/2015","179593"
"12","ACRE","08/2015","85819"
"13","AMAZONAS","08/2015","373275"
"14","RORAIMA","08/2015","54583"
"15","PARÁ","08/2015","678303"
"16","AMAPÁ","08/2015","65745"
"17","TOCANTINS","08/2015","184417"
"21","MARANHÃO","08/2015","467926"
"22","PIAUÍ","08/2015","228857"
"23","CEARÁ","08/2015","867746"
"24","RIO GRANDE DO NORTE","08/2015","317836"
"25","PARAÍBA","08/2015","274986"
"26","PERNAMBUCO","08/2015","758387"
"27","ALAGOAS","08/2015","313876"
"28","SERGIPE","08/2015","194423"
"29","BAHIA","08/2015","1143535"
"31","MINAS GERAIS","08/2015","1675485"
"32","ESPÍRITO SANTO","08/2015","343771"
"33","RIO DE JANEIRO","08/2015","940088"
"35","SÃO PAULO","08/2015","2317696"
"41","PARANÁ","08/2015","769082"
"42","SANTA CATARINA","08/2015","280771"
"43","RIO GRANDE DO SUL","08/2015","640541"
"50","MATO GROSSO DO SUL","08/2015","229059"
"51","MATO GROSSO","08/2015","323317"
"52","GOIÁS","08/2015","586691"
"53","DISTRITO FEDERAL","08/2015","205850"
"11","RONDÔNIA","09/2015","180694"
"12","ACRE","09/2015","86904"
"13","AMAZONAS","09/2015","377364"
"14","RORAIMA","09/2015","55050"
"15","PARÁ","09/2015","688336"
"16","AMAPÁ","09/2015","66738"
"17","TOCANTINS","09/2015","184739"
"21","MARANHÃO","09/2015","476451"
"22","PIAUÍ","09/2015","230807"
"23","CEARÁ","09/2015","868110"
"24","RIO GRANDE DO NORTE","09/2015","318977"
"25","PARAÍBA","09/2015","276173"
"26","PERNAMBUCO","09/2015","763917"
"27","ALAGOAS","09/2015","316233"
"28","SERGIPE","09/2015","197297"
"29","BAHIA","09/2015","1149291"
"31","MINAS GERAIS","09/2015","1672819"
"32","ESPÍRITO SANTO","09/2015","342911"
"33","RIO DE JANEIRO","09/2015","945958"
"35","SÃO PAULO","09/2015","2326140"
"41","PARANÁ","09/2015","766469"
"42","SANTA CATARINA","09/2015","279703"
"43","RIO GRANDE DO SUL","09/2015","643454"
"50","MATO GROSSO DO SUL","09/2015","229249"
"51","MATO GROSSO","09/2015","323216"
"52","GOIÁS","09/2015","589517"
"53","DISTRITO FEDERAL","09/2015","205232"
"11","RONDÔNIA","10/2015","181915"
"12","ACRE","10/2015","88141"
"13","AMAZONAS","10/2015","381658"
"14","RORAIMA","10/2015","55634"
"15","PARÁ","10/2015","698141"
"16","AMAPÁ","10/2015","67531"
"17","TOCANTINS","10/2015","184866"
"21","MARANHÃO","10/2015","484797"
"22","PIAUÍ","10/2015","231566"
"23","CEARÁ","10/2015","869911"
"24","RIO GRANDE DO NORTE","10/2015","320410"
"25","PARAÍBA","10/2015","277830"
"26","PERNAMBUCO","10/2015","771080"
"27","ALAGOAS","10/2015","320546"
"28","SERGIPE","10/2015","200218"
"29","BAHIA","10/2015","1156031"
"31","MINAS GERAIS","10/2015","1672253"
"32","ESPÍRITO SANTO","10/2015","342923"
"33","RIO DE JANEIRO","10/2015","952448"
"35","SÃO PAULO","10/2015","2335877"
"41","PARANÁ","10/2015","764274"
"42","SANTA CATARINA","10/2015","279501"
"43","RIO GRANDE DO SUL","10/2015","645268"
"50","MATO GROSSO DO SUL","10/2015","229963"
"51","MATO GROSSO","10/2015","324114"
"52","GOIÁS","10/2015","592223"
"53","DISTRITO FEDERAL","10/2015","204475"
"11","RONDÔNIA","11/2015","182856"
"12","ACRE","11/2015","88065"
"13","AMAZONAS","11/2015","383931"
"14","RORAIMA","11/2015","56023"
"15","PARÁ","11/2015","703917"
"16","AMAPÁ","11/2015","68306"
"17","TOCANTINS","11/2015","185071"
"21","MARANHÃO","11/2015","487712"
"22","PIAUÍ","11/2015","231079"
"23","CEARÁ","11/2015","868130"
"24","RIO GRANDE DO NORTE","11/2015","320628"
"25","PARAÍBA","11/2015","276943"
"26","PERNAMBUCO","11/2015","772347"
"27","ALAGOAS","11/2015","321429"
"28","SERGIPE","11/2015","200727"
"29","BAHIA","11/2015","1157705"
"31","MINAS GERAIS","11/2015","1668969"
"32","ESPÍRITO SANTO","11/2015","342772"
"33","RIO DE JANEIRO","11/2015","956910"
"35","SÃO PAULO","11/2015","2342105"
"41","PARANÁ","11/2015","762375"
"42","SANTA CATARINA","11/2015","278150"
"43","RIO GRANDE DO SUL","11/2015","646248"
"50","MATO GROSSO DO SUL","11/2015","230295"
"51","MATO GROSSO","11/2015","323939"
"52","GOIÁS","11/2015","593585"
"53","DISTRITO FEDERAL","11/2015","203817"
"11","RONDÔNIA","12/2015","184386"
"12","ACRE","12/2015","87491"
"13","AMAZONAS","12/2015","385886"
"14","RORAIMA","12/2015","56360"
"15","PARÁ","12/2015","708474"
"16","AMAPÁ","12/2015","68973"
"17","TOCANTINS","12/2015","185333"
"21","MARANHÃO","12/2015","487977"
"22","PIAUÍ","12/2015","229719"
"23","CEARÁ","12/2015","863326"
"24","RIO GRANDE DO NORTE","12/2015","320179"
"25","PARAÍBA","12/2015","274370"
"26","PERNAMBUCO","12/2015","771844"
"27","ALAGOAS","12/2015","321933"
"28","SERGIPE","12/2015","200560"
"29","BAHIA","12/2015","1155186"
"31","MINAS GERAIS","12/2015","1663685"
"32","ESPÍRITO SANTO","12/2015","342632"
"33","RIO DE JANEIRO","12/2015","961139"
"35","SÃO PAULO","12/2015","2344944"
"41","PARANÁ","12/2015","760589"
"42","SANTA CATARINA","12/2015","276882"
"43","RIO GRANDE DO SUL","12/2015","647643"
"50","MATO GROSSO DO SUL","12/2015","230627"
"51","MATO GROSSO","12/2015","324250"
"52","GOIÁS","12/2015","595498"
"53","DISTRITO FEDERAL","12/2015","202648"
"11","RONDÔNIA","01/2016","176150"
"12","ACRE","01/2016","84885"
"13","AMAZONAS","01/2016","372824"
"14","RORAIMA","01/2016","54487"
"15","PARÁ","01/2016","693554"
"16","AMAPÁ","01/2016","66727"
"17","TOCANTINS","01/2016","178217"
"21","MARANHÃO","01/2016","480262"
"22","PIAUÍ","01/2016","220727"
"23","CEARÁ","01/2016","840757"
"24","RIO GRANDE DO NORTE","01/2016","311620"
"25","PARAÍBA","01/2016","265899"
"26","PERNAMBUCO","01/2016","750547"
"27","ALAGOAS","01/2016","310964"
"28","SERGIPE","01/2016","196734"
"29","BAHIA","01/2016","1127761"
"31","MINAS GERAIS","01/2016","1576868"
"32","ESPÍRITO SANTO","01/2016","325777"
"33","RIO DE JANEIRO","01/2016","909060"
"35","SÃO PAULO","01/2016","2196378"
"41","PARANÁ","01/2016","714231"
"42","SANTA CATARINA","01/2016","253555"
"43","RIO GRANDE DO SUL","01/2016","608621"
"50","MATO GROSSO DO SUL","01/2016","223205"
"51","MATO GROSSO","01/2016","306726"
"52","GOIÁS","01/2016","567340"
"53","DISTRITO FEDERAL","01/2016","188976"
"11","RONDÔNIA","02/2016","176553"
"12","ACRE","02/2016","84006"
"13","AMAZONAS","02/2016","371620"
"14","RORAIMA","02/2016","54641"
"15","PARÁ","02/2016","692607"
"16","AMAPÁ","02/2016","66528"
"17","TOCANTINS","02/2016","178108"
"21","MARANHÃO","02/2016","476041"
"22","PIAUÍ","02/2016","218996"
"23","CEARÁ","02/2016","835107"
"24","RIO GRANDE DO NORTE","02/2016","309651"
"25","PARAÍBA","02/2016","262817"
"26","PERNAMBUCO","02/2016","746965"
"27","ALAGOAS","02/2016","309955"
"28","SERGIPE","02/2016","195261"
"29","BAHIA","02/2016","1120669"
"31","MINAS GERAIS","02/2016","1572957"
"32","ESPÍRITO SANTO","02/2016","326213"
"33","RIO DE JANEIRO","02/2016","910915"
"35","SÃO PAULO","02/2016","2202761"
"41","PARANÁ","02/2016","714306"
"42","SANTA CATARINA","02/2016","253881"
"43","RIO GRANDE DO SUL","02/2016","609548"
"50","MATO GROSSO DO SUL","02/2016","223284"
"51","MATO GROSSO","02/2016","307315"
"52","GOIÁS","02/2016","568232"
"53","DISTRITO FEDERAL","02/2016","188502"
"11","RONDÔNIA","03/2016","177408"
"12","ACRE","03/2016","83247"
"13","AMAZONAS","03/2016","368599"
"14","RORAIMA","03/2016","54646"
"15","PARÁ","03/2016","690108"
"16","AMAPÁ","03/2016","65646"
"17","TOCANTINS","03/2016","178030"
"21","MARANHÃO","03/2016","469603"
"22","PIAUÍ","03/2016","216266"
"23","CEARÁ","03/2016","827087"
"24","RIO GRANDE DO NORTE","03/2016","306930"
"25","PARAÍBA","03/2016","258565"
"26","PERNAMBUCO","03/2016","741175"
"27","ALAGOAS","03/2016","307584"
"28","SERGIPE","03/2016","192713"
"29","BAHIA","03/2016","1109078"
"31","MINAS GERAIS","03/2016","1565199"
"32","ESPÍRITO SANTO","03/2016","325640"
"33","RIO DE JANEIRO","03/2016","910760"
"35","SÃO PAULO","03/2016","2209669"
"41","PARANÁ","03/2016","714454"
"42","SANTA CATARINA","03/2016","254501"
"43","RIO GRANDE DO SUL","03/2016","610528"
"50","MATO GROSSO DO SUL","03/2016","222877"
"51","MATO GROSSO","03/2016","308074"
"52","GOIÁS","03/2016","570832"
"53","DISTRITO FEDERAL","03/2016","187776"
"11","RONDÔNIA","04/2016","177479"
"12","ACRE","04/2016","82169"
"13","AMAZONAS","04/2016","366252"
"14","RORAIMA","04/2016","53934"
"15","PARÁ","04/2016","685763"
"16","AMAPÁ","04/2016","64834"
"17","TOCANTINS","04/2016","177903"
"21","MARANHÃO","04/2016","465126"
"22","PIAUÍ","04/2016","213448"
"23","CEARÁ","04/2016","820174"
"24","RIO GRANDE DO NORTE","04/2016","303714"
"25","PARAÍBA","04/2016","254473"
"26","PERNAMBUCO","04/2016","732939"
"27","ALAGOAS","04/2016","304587"
"28","SERGIPE","04/2016","189805"
"29","BAHIA","04/2016","1094616"
"31","MINAS GERAIS","04/2016","1557981"
"32","ESPÍRITO SANTO","04/2016","324973"
"33","RIO DE JANEIRO","04/2016","910629"
"35","SÃO PAULO","04/2016","2218972"
"41","PARANÁ","04/2016","714457"
"42","SANTA CATARINA","04/2016","255174"
"43","RIO GRANDE DO SUL","04/2016","609986"
"50","MATO GROSSO DO SUL","04/2016","223290"
"51","MATO GROSSO","04/2016","308213"
"52","GOIÁS","04/2016","572864"
"53","DISTRITO FEDERAL","04/2016","186541"
"11","RONDÔNIA","05/2016","177566"
"12","ACRE","05/2016","82024"
"13","AMAZONAS","05/2016","365172"
"14","RORAIMA","05/2016","53769"
"15","PARÁ","05/2016","683313"
"16","AMAPÁ","05/2016","64019"
"17","TOCANTINS","05/2016","178066"
"21","MARANHÃO","05/2016","463035"
"22","PIAUÍ","05/2016","211043"
"23","CEARÁ","05/2016","814886"
"24","RIO GRANDE DO NORTE","05/2016","302028"
"25","PARAÍBA","05/2016","252296"
"26","PERNAMBUCO","05/2016","726558"
"27","ALAGOAS","05/2016","303511"
"28","SERGIPE","05/2016","188032"
"29","BAHIA","05/2016","1087275"
"31","MINAS GERAIS","05/2016","1553374"
"32","ESPÍRITO SANTO","05/2016","324257"
"33","RIO DE JANEIRO","05/2016","911460"
"35","SÃO PAULO","05/2016","2227227"
"41","PARANÁ","05/2016","714932"
"42","SANTA CATARINA","05/2016","255376"
"43","RIO GRANDE DO SUL","05/2016","610138"
"50","MATO GROSSO DO SUL","05/2016","222843"
"51","MATO GROSSO","05/2016","308254"
"52","GOIÁS","05/2016","574076"
"53","DISTRITO FEDERAL","05/2016","185873"
"11","RONDÔNIA","06/2016","183472"
"12","ACRE","06/2016","84346"
"13","AMAZONAS","06/2016","362899"
"14","RORAIMA","06/2016","55141"
"15","PARÁ","06/2016","677894"
"16","AMAPÁ","06/2016","61116"
"17","TOCANTINS","06/2016","186095"
"21","MARANHÃO","06/2016","468041"
"22","PIAUÍ","06/2016","224969"
"23","CEARÁ","06/2016","866651"
"24","RIO GRANDE DO NORTE","06/2016","315713"
"25","PARAÍBA","06/2016","271976"
"26","PERNAMBUCO","06/2016","742405"
"27","ALAGOAS","06/2016","320097"
"28","SERGIPE","06/2016","191663"
"29","BAHIA","06/2016","1117710"
"31","MINAS GERAIS","06/2016","1661366"
"32","ESPÍRITO SANTO","06/2016","342264"
"33","RIO DE JANEIRO","06/2016","930111"
"35","SÃO PAULO","06/2016","2323254"
"41","PARANÁ","06/2016","771883"
"42","SANTA CATARINA","06/2016","275945"
"43","RIO GRANDE DO SUL","06/2016","633736"
"50","MATO GROSSO DO SUL","06/2016","237883"
"51","MATO GROSSO","06/2016","321895"
"52","GOIÁS","06/2016","594590"
"53","DISTRITO FEDERAL","06/2016","196356"
"11","RONDÔNIA","07/2016","183902"
"12","ACRE","07/2016","84391"
"13","AMAZONAS","07/2016","362980"
"14","RORAIMA","07/2016","54966"
"15","PARÁ","07/2016","677422"
"16","AMAPÁ","07/2016","61112"
"17","TOCANTINS","07/2016","185815"
"21","MARANHÃO","07/2016","467942"
"22","PIAUÍ","07/2016","222590"
"23","CEARÁ","07/2016","858954"
"24","RIO GRANDE DO NORTE","07/2016","313030"
"25","PARAÍBA","07/2016","269059"
"26","PERNAMBUCO","07/2016","736531"
"27","ALAGOAS","07/2016","317204"
"28","SERGIPE","07/2016","189388"
"29","BAHIA","07/2016","1109284"
"31","MINAS GERAIS","07/2016","1650075"
"32","ESPÍRITO SANTO","07/2016","341022"
"33","RIO DE JANEIRO","07/2016","928518"
"35","SÃO PAULO","07/2016","2326312"
"41","PARANÁ","07/2016","768192"
"42","SANTA CATARINA","07/2016","276187"
"43","RIO GRANDE DO SUL","07/2016","631940"
"50","MATO GROSSO DO SUL","07/2016","237211"
"51","MATO GROSSO","07/2016","321393"
"52","GOIÁS","07/2016","593849"
"53","DISTRITO FEDERAL","07/2016","195712"
"11","RONDÔNIA","08/2016","178327"
